line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.078,484.381,1947.845,2711.429,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.079,583.437,1706.665,2096.412,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.08,824.549,1514.173,2220.46,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.081,1180.462,1844.908,2544.146,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.082,362.717,1720.048,2197.683,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.083,813.598,1822.297,2547.544,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.084,977.303,1872.598,2545.438,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.085,1488.954,2239.811,2869.158,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.086,730.003,1605.998,2224.846,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.087,712.497,1500.933,2484.966,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.088,949.156,2037.084,2691.712,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.089,1235.562,1956.059,2666.405,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.09,950.377,1695.019,2485.223,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.091,606.675,1538.557,2261.886,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.092,1352.569,1374.324,2114.041,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.093,1103.21,1872.909,2631.049,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.094,785.875,2191.269,2852.659,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.095,662.488,1493.946,2249.941,male
