line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,speaking,time,f1,f2,f3,gender
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.073,826.751,1634.639,2585.052,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.074,516.073,1420.385,2299.08,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.075,721.296,1540.278,2336.043,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.076,391.829,1278.604,2207.336,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.077,814.011,1607.696,2534.303,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.078,954.262,1889.927,2802.135,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.079,721.021,1626.055,2485.176,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.08,739.608,1708.052,3187.793,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.081,813.723,1608.826,2544.577,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.082,945.009,1832.304,2840.406,female
